    -50.00    0.211984675   -0.707233711   -2.133479452   -194.0159768958
    -45.00    0.194641627   -0.816914027   -1.982297262   -194.0347992561
    -40.00    0.178450942   -0.914108681   -1.837991504   -194.0506772034
    -35.00    0.163675224   -0.998053935   -1.701810149   -194.0640841203
    -30.00    0.150150587   -1.068637472   -1.573500381   -194.0752814172
    -25.00    0.137642684   -1.125984698   -1.452085246   -194.0844335755
    -20.00    0.125887152   -1.170363520   -1.336399526   -194.0916656567
    -15.00    0.114637023   -1.202097183   -1.225379945   -194.0970902699
    -10.00    0.103817683   -1.221420009   -1.118211532   -194.1008191497
     -5.00    0.092912041   -1.228859619   -1.014270139   -194.1029674556
      0.00    0.082189422   -1.224412558   -0.913248838   -194.1036553029
      5.00    0.071458211   -1.208347087   -0.815034368   -194.1030090111
     10.00    0.060686986   -1.180779115   -0.719700231   -194.1011625703
     15.00    0.049873017   -1.141746124   -0.627484555   -194.0982595322
     20.00    0.039040110   -1.091200689   -0.538776368   -194.0944550200
     25.00    0.028238745   -1.029014070   -0.454114836   -194.0899176798
     30.00    0.017549844   -0.954999512   -0.374202475   -194.0848313642
     35.00    0.007088828   -0.868964719   -0.299920518   -194.0793961089
     40.00   -0.002989787   -0.770781879   -0.232338585   -194.0738278549
     45.00   -0.012492491   -0.660470149   -0.172709267   -194.0683564337
     50.00   -0.021188148   -0.538298818   -0.122448796   -194.0632210386
     55.00   -0.028813117   -0.404921930   -0.083089651   -194.0586622711
     60.00   -0.035084466   -0.261535717   -0.056187172   -194.0549100184
     65.00   -0.039724368   -0.110024166   -0.043167619   -194.0521671870
     70.00   -0.042489486    0.046979036   -0.045107128   -194.0505908576
